Feature:,Collapse Group:,Notes:
mh_polio,Polio,
mh_polio (childhood),Polio,
oc_confirmed pseudophakic,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_pseudophakic,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_OD pseudophakic,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseudophakic (OD),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_OU pseudophakic - cataract surgery,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_IOL surgery (OU)-Date?,Pseudophakic,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead
oc_OU pseudophakic,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confimred pseudophakic (OU),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseduophakic (OU),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseeudophakic (OU),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseudophakic (OU),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseudophakic (OU)\,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseudophakic (OS),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates."
mh_Pulmonary Embolism,Pulmonary embolism,"Pulmonary embolism (clot in lung) and pulmonary hypertension are distinct from COPD/fibrosis -- vascular, not obstructive/restrictive lung disease. "
mh_pulmonary embolism,Pulmonary embolism,"Pulmonary embolism (clot in lung) and pulmonary hypertension are distinct from COPD/fibrosis -- vascular, not obstructive/restrictive lung disease. "
mh_pulmonary hypertension; diastolic heart failure; rheumatoid arthritis,Pulmonary hypertension; Congestive heart failure (CHF); Rheumatoid arthritis (RA),
mh_Acute Renal Failure,Renal failure,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_Renal failure,Renal failure,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_acute kidney failure,Renal failure,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_acute renal failure,Renal failure,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_renal failure,Renal failure,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_hypoxic respiratory failure,Respiratory failure,Generic respiratory symptom/failure notes without a named diagnosis
mh_respiratory failure,Respiratory failure,Generic respiratory symptom/failure notes without a named diagnosis
oc_detached retina (had surgery),Retinal detachment,
oc_retinal detachment,Retinal detachment,
oc_retinal detachment s/p sx,Retinal detachment,
oc_retinal detachment surgery - unknown date,Retinal detachment,
oc_retina detachment surgery (OD),Retinal detachment,
oc_retina detachment surgery (OD) - 20 yrs ago,Retinal detachment,
oc_Detached retina surgery (OU) - 20yrs ago,Retinal detachment,
oc_detached retina (OU),Retinal detachment,
oc_retina detachment surgery (OU),Retinal detachment,
oc_retina surgery (OS),Retinal detachment,
oc_retinal detachment surgery (OS) 5 yrs ago,Retinal detachment,
mh_RA,Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_RA in hands,Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_Rheumatoid Arthritis,Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_Rheumatoid arthritis,Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_possible rheumatoid arthritis,Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rhematoid arthritis,Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rheumatiod arthritis,Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rheumatoid arthritis,Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_epilepsy,Seizure disorder / epilepsy,Seizure-related diagnoses
mh_seizure,Seizure disorder / epilepsy,Seizure-related diagnoses
mh_seizure disorder,Seizure disorder / epilepsy,Seizure-related diagnoses
mh_seizures,Seizure disorder / epilepsy,Seizure-related diagnoses
mh_sepsis,Sepsis,
mh_septic shock,Sepsis,
mh_Smoker,Smoking history,
mh_Smoker (1 pack/day) for 35 years,Smoking history,
mh_Smoker (1 pack/day) for 40 years,Smoking history,
mh_Smoker (1 pack/day) for 48 years,Smoking history,
mh_Smoker (1 pack/day) for 60 years,Smoking history,
mh_Smoker (1 pack/day) quit 30 years ago,Smoking history,
mh_Smoker (1 pack/day) since 18 years,Smoking history,
mh_Smoker (1 pk/day; over 10 yrs),Smoking history,
mh_Smoker (1.5 pack/day) for 50 years - quit 2006,Smoking history,
mh_Smoker (1.5 packs/day) for 10-15 years,Smoking history,
mh_Smoker (1pk/day; 25yrs),Smoking history,
mh_Smoker (2 packs/day) for 30 years;HBP,Smoking history,
mh_Smoker (4 cigarettes/day) for 50 years,Smoking history,
mh_Smoker (? Amount; 20yrs),Smoking history,
mh_Smoker (half pk/day; 35yr),Smoking history,
mh_Smoker (unknown how much) for 50 years,Smoking history,
mh_Smoker 1 pack/day for 50 years,Smoking history,
mh_casual smoker for 1 yr,Smoking history,
mh_heavy smoker,Smoking history,
mh_light smoker,Smoking history,
mh_light smoker (20yrs),Smoking history,
mh_light smoker (35 yrs),Smoking history,
mh_light smoker (unknown how much; quit 30 yrs ago),Smoking history,
mh_occasional smoker,Smoking history,
mh_pipe smoker (10yrs),Smoking history,
mh_pipe smoker (during early 40s),Smoking history,
mh_smoked 1.5 ppd age 15 until 1969,Smoking history,
mh_smoked 2 ppd,Smoking history,
mh_smoker,Smoking history,
mh_smoker (0.5 cigarette/day; 53yrs),Smoking history,
mh_smoker (0.5pk/day; on/off throughout life),Smoking history,
mh_smoker (1 -1.5 pk/day; 55 yrs),Smoking history,
mh_smoker (1 Pk/day; 25 yrs),Smoking history,
mh_smoker (1 cigar/day; 20 yrs),Smoking history,
mh_smoker (1 cigarette/day; 50 yrs),Smoking history,
mh_smoker (1 cigarette/day;? Long),Smoking history,
mh_smoker (1 pack/day; 40yr),Smoking history,
mh_smoker (1 pack/day; 50 yr),Smoking history,
mh_smoker (1 pk/day; 20 yrs),Smoking history,
mh_smoker (1 pk/day; 20yrs),Smoking history,
mh_smoker (1 pk/day; 30 yrs),Smoking history,
mh_smoker (1 pk/day; 40 yrs),Smoking history,
mh_smoker (1 pk/day; 40yrs),Smoking history,
mh_smoker (1 pk/day; 45 yrs),Smoking history,
mh_smoker (1 pk/day; 50 + yrs),Smoking history,
mh_smoker (1 pk/day; 50 yrs),Smoking history,
mh_smoker (1 pk/day; 50+ yr),Smoking history,
mh_smoker (1 pk/day; 50+yrs),Smoking history,
mh_smoker (1 pk/day; 50yrs),Smoking history,
mh_smoker (1 pk/day; 55+ yrs),Smoking history,
mh_smoker (1 pk/day; 55yrs),Smoking history,
mh_smoker (1 pk/day; 60yrs),Smoking history,
mh_smoker (1 pk/day; 70yrs),Smoking history,
mh_smoker (1 pk/day; 75 yrs),Smoking history,
mh_smoker (1+ pk/day; 30yrs),Smoking history,
mh_smoker (1-1.5pk/day; 40yrs),Smoking history,
mh_smoker (1-2 cigars/day; 23 yrs),Smoking history,
mh_smoker (1-2pk/day; 30+yrs),Smoking history,
mh_smoker (1-2pk/day; 50yrs),Smoking history,
mh_smoker (1-2pk/day; 60years),Smoking history,
mh_smoker (1-2pk/week; 60yrs),Smoking history,
mh_smoker (1.5 pk/day; 30 yrs),Smoking history,
mh_smoker (1.5pk/day; 45 yrs),Smoking history,
mh_smoker (1pack/day; 25 yrs),Smoking history,
mh_smoker (1pk/day+cigars+pipe; 30 yrs),Smoking history,
mh_smoker (1pk/day; 10yrs),Smoking history,
mh_smoker (1pk/day; 12yrs),Smoking history,
mh_smoker (1pk/day; 20 years),Smoking history,
mh_smoker (1pk/day; 20 yrs),Smoking history,
mh_smoker (1pk/day; 20yrs),Smoking history,
mh_smoker (1pk/day; 25 yrs),Smoking history,
mh_smoker (1pk/day; 30 yrs),Smoking history,
mh_smoker (1pk/day; 30+ yrs),Smoking history,
mh_smoker (1pk/day; 30yrs),Smoking history,
mh_smoker (1pk/day; 40yrs),Smoking history,
mh_smoker (1pk/day; 45yr),Smoking history,
mh_smoker (1pk/day; 50+yrs),Smoking history,
mh_smoker (1pk/day; 50yrs),Smoking history,
mh_smoker (1pk/day; 55 yrs),Smoking history,
mh_smoker (1pk/day; 60 yrs),Smoking history,
mh_smoker (1pk/day; 60yrs),Smoking history,
mh_smoker (1pk/day; 70 yrs),Smoking history,
mh_smoker (1pk/week; 60 yrs),Smoking history,
mh_smoker (2 packs/day; 30 yrs),Smoking history,
mh_smoker (2 pk/day; 20 yr),Smoking history,
mh_smoker (2-3 cigarettes/day; 50 yrs),Smoking history,
mh_smoker (2-3pk/day + cigars; 23 yrs; quit 30yrs ago),Smoking history,
mh_smoker (20yrs),Smoking history,
mh_smoker (2pk/day),Smoking history,
mh_smoker (2pk/day; 20 years),Smoking history,
mh_smoker (2pk/day; 30 yrs),Smoking history,
mh_smoker (2pk/day; 45 yrs),Smoking history,
mh_smoker (3 cigarettes/day; 50 yr),Smoking history,
mh_smoker (3 cigars/week; 70 yrs),Smoking history,
mh_smoker (3/4pk/day; 30yr),Smoking history,
mh_smoker (3pk/day for 56 yrs),Smoking history,
mh_smoker (3pk/day; quit 50 yrs ago),Smoking history,
mh_smoker (3pk/wk; 40yrs),Smoking history,
mh_smoker (? Amount; 1 yr as teenager),Smoking history,
mh_smoker (? Amount; 15yrs),Smoking history,
mh_smoker (? Amount; 20 yrs),Smoking history,
mh_smoker (? Amount; 35 yrs),Smoking history,
mh_smoker (? Amount; 3yrs when in service),Smoking history,
mh_smoker (? Amount; 50yrs),Smoking history,
mh_smoker (? Amount; quit during 1970s),Smoking history,
mh_smoker (? Pk/day; ? Yrs),Smoking history,
mh_smoker (?amount; 45yrs),Smoking history,
mh_smoker (?amount; quit 35 yrs ago),Smoking history,
mh_smoker (cigars; ? Amount; 20yrs),Smoking history,
mh_smoker (during his 30s),Smoking history,
mh_smoker (half pack/day; 10 yrs),Smoking history,
mh_smoker (half pack/day; 20 yr),Smoking history,
mh_smoker (half pack/day; 20 yrs),Smoking history,
mh_smoker (half pk/day; 10 yrs),Smoking history,
mh_smoker (half pk/day; 10yrs),Smoking history,
mh_smoker (half pk/day; 2 yrs),Smoking history,
mh_smoker (half pk/day; 20 yr),Smoking history,
mh_smoker (half pk/day; 20 yrs),Smoking history,
mh_smoker (half pk/day; 20yrs),Smoking history,
mh_smoker (half pk/day; 28 yrs),Smoking history,
mh_smoker (half pk/day; 30yrs),Smoking history,
mh_smoker (half pk/day; 40yrs),Smoking history,
mh_smoker (half pk/day; 48yrs),Smoking history,
mh_smoker (half pk/day; 50 yrs),Smoking history,
mh_smoker (half pk/day; 50+ yrs),Smoking history,
mh_smoker (half pk/day; 64 yrs),Smoking history,
mh_smoker (half pk/day; during 20s),Smoking history,
mh_smoker (pipe for few yrs until 20 yo),Smoking history,
mh_smoker (pipe; 15yr),Smoking history,
mh_smoker (pipe; 30yrs),Smoking history,
mh_smoker (unknown amount for 15 yrs; quit 1959),Smoking history,
mh_smoker (unknown amount; 60yrs),Smoking history,
mh_smoker (unknown amount; during 20s and 30s),Smoking history,
mh_smoker (unknown how much; 20 yrs),Smoking history,
mh_smoker (unknown how much; quit 40 yrs ago),Smoking history,
mh_smoker (very little for a couple years),Smoking history,
mh_smoker 1 pack /day for 40 years,Smoking history,
mh_smoker 40yrs,Smoking history,
mh_smoking,Smoking history,
mh_social smoker (1-2 cigarettes/day from 1950s-60s),Smoking history,
mh_social smoker (? How much; 30 yrs),Smoking history,
mh_social smoker for 30yrs,Smoking history,
mh_smoker (1pk/day; 25yrs); A. Fib; heart disease; high cholesterol; Parkinson's; dementia),Smoking history; Atrial fibrillation (A Fib); Heart disease; High cholesterol / hyperlipidemia; Parkinson's disease; Dementia,
mh_smoker (casual; 2 yrs); CHF; A. Fib; pleural effusion),Smoking history; Congestive heart failure (CHF); Atrial fibrillation (A Fib); Pleural effusion,
mh_smoker (1pk/day; 50yrs); heart disease; HBP; high cholesterol),Smoking history; Heart disease; Hypertension (HTN); High cholesterol / hyperlipidemia,
mh_smoker (?amount; during early 20s); hyperlipidemia; HTn; osteoarthritis),Smoking history; High cholesterol / hyperlipidemia; Hypertension (HTN); Osteoarthritis (OA/DJD),
mh_1/2 pack day for 60 yrs; HBP,Smoking history; Hypertension (HTN),
mh_smoker; quit 30 years ago; HTN,Smoking history; Hypertension (HTN),
mh_smoker (1pk/day; 50yrs); HTN; alcoholic),Smoking history; Hypertension (HTN); Alcohol abuse,
mh_CVA,Stroke (CVA),CVA = cerebrovascular accident = stroke
mh_Cerebrovascular accident,Stroke (CVA),CVA = cerebrovascular accident = stroke
mh_stroke,Stroke (CVA),CVA = cerebrovascular accident = stroke
mh_stroke (1989),Stroke (CVA),CVA = cerebrovascular accident = stroke
mh_TIA,TIA (mini-stroke),"TIA = transient ischemic attack, a temporary stroke-like event distinct from a full stroke -- keep separate from CVA unless clinically justified to merge"
mh_transient ischemic attack (2012),TIA (mini-stroke),"TIA = transient ischemic attack, a temporary stroke-like event distinct from a full stroke -- keep separate from CVA unless clinically justified to merge"
mh_TBI,Traumatic brain injury (TBI),TBI = traumatic brain injury
mh_Trauma to head from fall,Traumatic brain injury (TBI),TBI = traumatic brain injury
mh_head trauma,Traumatic brain injury (TBI),TBI = traumatic brain injury
mh_UTI,Urinary tract infection (UTI),
mh_UTI last week,Urinary tract infection (UTI),
mh_urinary tract infection,Urinary tract infection (UTI),
mh_Mitral valve prolapse (repaired),Valvular heart disease,Heart valve disease/replacement
mh_heart valve replacement,Valvular heart disease,Heart valve disease/replacement
mh_valve replacement,Valvular heart disease,Heart valve disease/replacement
mh_valvular disease,Valvular heart disease,Heart valve disease/replacement
mh_valvular heart disease,Valvular heart disease,Heart valve disease/replacement
oc_hemorrhage in the back of the eyes,Vitreous hemorrhage,
oc_vitreous hemorrhage,Vitreous hemorrhage,
oc_Glasses only recently,Wears corrective glasses,
oc_Wore reading glasses,Wears corrective glasses,
oc_glasses,Wears corrective glasses,
sex_bin,sex_bin,Binary sex indicator
A69S_GG,A69S_GG,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
A69S_GT,A69S_GT,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
A69S_TT,A69S_TT,"AMD-associated genotype (ARMS2 gene, A69S SNP). GG/GT/TT are the three genotype states"
Y402H_CC,Y402H_CC,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
Y402H_CT,Y402H_CT,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
Y402H_TT,Y402H_TT,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
mh_ARDS,ARDS,"ARDS = acute respiratory distress syndrome, an acute critical-illness event, not a chronic lung disease -- keep separate from COPD group."
mh_AML,AML,Distinct leukemia subtype from CML -- do not merge with CML.
mh_altered mental status,Altered mental status,Generic cognitive/consciousness disturbance not otherwise specified -- may overlap with liver-related encephalopathy above; verify context per row if possible.
mh_Aneurysm,Aneurysm,Ambiguous -- doesn't specify aortic vs. cerebral vs. other. Kept separate from the confirmed AAA group above pending verification.
mh_angina,Angina,"Chest pain symptom, typically a marker of underlying CAD -- consider grouping with CAD or keeping as its own symptom flag."
mh_angioedema,Angioedema,
mh_anxiety,Anxiety,
mh_aoritc stenosis,Aoritc stenosis,"""mh_aoritc stenosis"" looks like a typo for ""aortic stenosis""."
mh_arthritis,Arthritis,"Generic ""arthritis"" without specifying RA vs. OA -- cannot be confidently merged into either specific bucket without more info; keep as its own ""unspecified"" category per your under-merging preference."
mh_asthma,Asthma,
mh_CMF+Afib post op,CMF+Afib post op,
mh_clotting disorder,clotting disorder,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_hematuria,Hematuria,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_leukocytosis,Leukocytosis,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_leukopenia,Leukopenia,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_thrombocytopenia,Thrombocytopenia,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_bowel obstruction,Bowel obstruction,
mh_bowel perforation,Bowel perforation,
mh_ischemic bowel,Ischemic bowel,
mh_ruptured bowel,Ruptured bowel,
mh_basal ganglia infarction,Basal ganglia infarction,ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap.
mh_benign pituitary tumor,Benign pituitary tumor,"Includes a benign tumor -- confirm whether benign tumors should be pooled with cancer diagnoses at all, since that changes the clinical meaning."
mh_brain tumor,Brain tumor,"Includes a benign tumor -- confirm whether benign tumors should be pooled with cancer diagnoses at all, since that changes the clinical meaning."
mh_C.diff,C.diff,Clostridioides difficile intestinal infection.
mh_cardiomegaly,Cardiomegaly,Structural heart muscle disease.
mh_carotid surgery,Carotid surgery,"Vascular surgery, typically related to stroke risk -- consider whether to fold into vascular surgery group below."
mh_Pulmonary Mycobacterium complex,Pulmonary Mycobacterium complex,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_aspergillis,Aspergillis,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_interstitial lung disease,Interstitial lung disease,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_lung disease,Lung disease,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_pulmonary fibrosis,Pulmonary fibrosis,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_CLL,CLL,Distinct leukemia subtype from AML/CML.
mh_CML,CML,Distinct leukemia subtype from AML -- do not merge with AML.
mh_chronic pain,Chronic pain,
mh_colitis,Colitis,
mh_rectal cancer,Rectal cancer,
mh_End stage cardiac disease,End stage cardiac disease,CHF = congestive heart failure.
mh_dehydration,Dehydration,
mh_insulin in hospital,Insulin in hospital,"Inpatient insulin use -- likely a diabetes proxy, but not an explicit diabetes diagnosis; verify before treating as a diabetes flag."
mh_dysphagia,Dysphagia,Dysphagia (swallowing difficulty) and dysphasia (language/speech difficulty) are clinically different conditions despite similar spelling -- verify these weren't conflated in charting before merging; keeping separate is safer.
mh_dysphasia,Dysphasia,Dysphagia (swallowing difficulty) and dysphasia (language/speech difficulty) are clinically different conditions despite similar spelling -- verify these weren't conflated in charting before merging; keeping separate is safer.
mh_esophagus and bladder surgically removed,Esophagus and bladder surgically removed,
mh_esphagitis,Esphagitis,"Likely typo for ""esophagitis""."
mh_fractured right femur,Fractured Right Femur,Isolated injury record.
mh_GERD,GERD,GERD = gastroesophageal reflux disease.
mh_GI bleed,GI Bleed,
mh_gout,Gout,"A distinct crystal-induced arthritis, not OA or RA."
mh_endometrial cancer,Endometrial Cancer,"Endometrial and ovarian cancer are different primary sites -- verify before merging into one ""gynecologic"" bucket vs. keeping separate."
mh_metastatic ovarian cancer,Metastatic Ovarian Cancer,"Endometrial and ovarian cancer are different primary sites -- verify before merging into one ""gynecologic"" bucket vs. keeping separate."
mh_heart history,Heart History,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source."
mh_heart tumor,Heart Tumor,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. Consider a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis, since merging would fabricate specificity that isn't in the source."
mh_histoplasmosis,Histoplasmosis,Fungal infection.
mh_fluctuating blood pressure,Fluctuating Blood Pressure,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_incontinence due to age,Incontinence Due To Age,
mh_Influenza A,Influenza A,
mh_insomia,Insomia,"""mh_insomia"" looks like a typo for ""insomnia""."
mh_mental retardation,Mental Retardation,
mh_hip replacement,Hip Replacement,
mh_kidney cancer,Kidney Cancer,
mh_end stage renal disease,End Stage Renal Disease,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_hyperkalemia,Hyperkalemia,Hyperkalemia (high blood potassium) is often a downstream symptom of kidney disease -- consider grouping with renal conditions or keeping separate as a lab-value flag.
mh_kidney atrophy,Kidney Atrophy,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_kidney removed (2011),Kidney Removed (2011),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_kidney transplant secondary to nephritis,Kidney Transplant Secondary To Nephritis,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_nephritis,Nephritis,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_polycystic kidney disease,Polycystic Kidney Disease,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_renal transplant (on dialysis),Renal Transplant (On Dialysis),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_liver cancer,Liver Cancer,"Cancer diagnosis, distinct from liver failure/cirrhosis -- do not merge with general liver disease group."
mh_Alcoholic Cirrhosis,Alcoholic Cirrhosis,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_Encephalopathy,Encephalopathy,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_biliary cirrhosis,Biliary Cirrhosis,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_encephalopathy,Encephalopathy,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_haptic encephalopathy,Haptic Encephalopathy,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_hepatic fibrosis,Hepatic Fibrosis,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_liver failure,Liver Failure,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_liver mass,Liver Mass,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_metabolic encephalopathy,Metabolic Encephalopathy,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_lung cancer,Lung Cancer,
mh_small cell lung cancer,Small Cell Lung Cancer,
mh_lung mass,Lung Mass,Not specified as cancer or benign -- keep separate from confirmed lung cancer diagnoses.
